"issue"	"issue_status"	"issue_type"
"303"	"ISSUE_CLOSED"	"nameChange"
"304"	"ISSUE_OPEN"	"missingName"
"309"	"ISSUE_CLOSED"	"nameChange"
"314"	"ISSUE_OPEN"	"wrongStatus"
"316"	"JSON-TAG-ERROR"	"wrongGroup"
"318"	"ISSUE_OPEN"	"wrongStatus"
"319"	"ISSUE_OPEN"	"missingName"
"322"	"ISSUE_CLOSED"	"missingName"
"323"	"ISSUE_OPEN"	"ARRAY"
"324"	"ISSUE_CLOSED"	"missingName"
"325"	"ISSUE_CLOSED"	"nameChange"
"326"	"ISSUE_CLOSED"	"nameChange"
"327"	"ISSUE_CLOSED"	"missingName"
"331"	"ISSUE_CLOSED"	"nameChange"
"332"	"ISSUE_CLOSED"	"nameChange"
"333"	"ISSUE_CLOSED"	"nameChange"
"335"	"ISSUE_CLOSED"	"ARRAY"
"336"	"ISSUE_CLOSED"	"ARRAY"
"338"	"ISSUE_CLOSED"	"nameChange"
"339"	"ISSUE_CLOSED"	"nameChange"
"340"	"ISSUE_CLOSED"	"ARRAY"
"352"	"ISSUE_CLOSED"	"wrongStatus"
"354"	"ISSUE_OPEN"	"nameChange"
"356"	"ISSUE_CLOSED"	"nameChange"
"357"	"ISSUE_OPEN"	"badName"
"358"	"ISSUE_CLOSED"	"badName"
"362"	"ISSUE_CLOSED"	"nameChange"
"363"	"ISSUE_CLOSED"	"nameChange"
"364"	"ISSUE_CLOSED"	"nameChange"
"365"	"ISSUE_OPEN"	"badName"
